waiwai,chapter_id,entry_id,significado,meaning,WaiWai,Wai_Wai_sem_correcao,Wai_Wai_Phonemic,comment,comment_sem_correcao,comentario,comentario_sem_correcao,Referencia
Tocow,,,foram,,Tocow,,to tiou,,,,,3
Tohkarara,,,"pedrinhas, pisarra",,Tohkarara,,tor ca ra ra,,,,,3
tohsom,,,"o que se pode comer, quando se refere comer beju.",,tohsom,,,,,,,2
Tohsom,,,"o que se pode comer, quando se refere comer beju.",,Tohsom,,tor som,,,,,3
tokrî,,,"vamos comer, referindo comer beju",,tokrî,,,,,,,2
Tokrî,,,"vamos comer, referindo comer beju",,Tokrî,,toc cru,,,,,3
tom há,,,já foi,,tom há,,,,,,,2
Tom há,,,já foi,,Tom há,,tom rra,,,,,3
tomo,,,foi,,tomo,,,,,,,2
Tomo,,,foi,,Tomo,,to mo,,,,,3
tonohra,5,110,comer,eat,tonohra; apuhra,tono-hra; apu-hra,tono-hra; aΦu-hra,"Respectively: 'eat meat-neg'; 'eat (vegetable, fruit)-neg'. 'To eat (bread)' is toku-hra. Intransitive 'eat' is es-resma-ra.; Respectively: 'eat meat-neg'; 'eat (vegetable, fruit)-neg'. 'To eat (bread)' is toku-hra. Intransitive 'eat' is es-resma-ra.",,"Respectivamente: 'Coma carne-negro'; 'Coma (vegetal, frutas) -Neg'. 'Comer (pão)' é toku-hra. 'Eat' intransitivo é es-resma-ra.; Respectivamente: 'Coma carne-negro'; 'Coma (vegetal, frutas) -Neg'. 'Comer (pão)' é toku-hra. 'Eat' intransitivo é es-resma-ra.",,1
apuhra,5,110,comer,eat,tonohra; apuhra,tono-hra; apu-hra,tono-hra; aΦu-hra,"Respectively: 'eat meat-neg'; 'eat (vegetable, fruit)-neg'. 'To eat (bread)' is toku-hra. Intransitive 'eat' is es-resma-ra.; Respectively: 'eat meat-neg'; 'eat (vegetable, fruit)-neg'. 'To eat (bread)' is toku-hra. Intransitive 'eat' is es-resma-ra.",,"Respectivamente: 'Coma carne-negro'; 'Coma (vegetal, frutas) -Neg'. 'Comer (pão)' é toku-hra. 'Eat' intransitivo é es-resma-ra.; Respectivamente: 'Coma carne-negro'; 'Coma (vegetal, frutas) -Neg'. 'Comer (pão)' é toku-hra. 'Eat' intransitivo é es-resma-ra.",,1
tonopore,,,pode comer carne,,tonopore,,,,,,,2
Tonopore,,,pode comer carne,,Tonopore,,to no fore,,,,,3
tonoso,,,para comer carne,,tonoso,,,,,,,2
Tonoso,,,para comer carne,,Tonoso,,to no so,,,,,3
toono,,,comemos carne,,toono,,,,,,,2
Toono,,,comemos carne,,Toono,,to no,,,,,3
toopu,1,440,"pedra, rocha","stone, rock     ",toopu,,tooΦu,,,,,1
toopu,,,pedra,,toopu,,,,,,,2
Toopu,,,pedra,,Toopu,,to fu,,,,,3
toopu yařmačho,20,230,Funda,sling,toopu yařmačho,toopu y-ar̃ma-čho,tooΦu y-ar̃ma-čho,Lit. 'instrument of throwing rocks'.,,Literalmente. 'Instrumento de arremessar pedras'.,,1
tooto,2,100,"pessoa, ser humano tooto","person, human being     ",tooto,,tooto,,,,,1
tooto,19,210,Pessoas (população),people (populace),tooto,,tooto,,,,,1
tooto,,,pessoal ou gente,,tooto,,,,,,,2
Tooto,,,pessoal ou gente,,Tooto,,to to,,,,,3
tooto yekatînho,22,450,"Fantasma, fantasma","ghost, phantom",tooto yekatînho,,tooto	yekatɨnho,,,,,1
tooto komo,,,pessoas,,tooto komo,,,,,,,2
Tooto komo,,,pessoas,,Tooto komo,,tooto komo,,,,,3
tope,,,pode ir liberado,,tope,,,,,,,2
Tope,,,pode ir liberado,,Tope,,tofe,,,,,3
topo + me,14,780,temporada,season,topo + me; čho + me,topo + me; čho + me,-toΦo + me; -čho + me,"... + -toΦo/čho + me - Used with verb preceding., e.g. mararɨ yama-čho me nay, 'it is the season to cut fields'.; ... + -toΦo/čho + me - Used with verb preceding., e.g. mararɨ yama-čho me nay, 'it is the season to cut fields'.",,"... + -toφo/Čho + me - usado com verbo precedente., por exemplo mararɨ yama-čho me não, 'é a estação para cortar campos'.; ... + -toφo/Čho + me - usado com verbo precedente., por exemplo mararɨ yama-čho me não, 'é a estação para cortar campos'.",,1
čho + me,14,780,temporada,season,topo + me; čho + me,topo + me; čho + me,-toΦo + me; -čho + me,"... + -toΦo/čho + me - Used with verb preceding., e.g. mararɨ yama-čho me nay, 'it is the season to cut fields'.; ... + -toΦo/čho + me - Used with verb preceding., e.g. mararɨ yama-čho me nay, 'it is the season to cut fields'.",,"... + -toφo/Čho + me - usado com verbo precedente., por exemplo mararɨ yama-čho me não, 'é a estação para cortar campos'.; ... + -toφo/Čho + me - usado com verbo precedente., por exemplo mararɨ yama-čho me não, 'é a estação para cortar campos'.",,1
torowo,3,581,pássaro,bird,torowo,,torowo,,,,,1
totke,,,com comida carne,,totke,,,,,,,2
Totke,,,com comida carne,,Totke,,tot que,,,,,3
totopo,,,ir nele,,totopo,,,,,,,2
Totopo,,,ir nele,,Totopo,,to to fo,,,,,3
tpanaxkem,12,770,Cruz,cross,tpanaxkem,t-panax-ke-m,t-panaš-ke-m,Lit. 'advzr-projection-having-nominalizer'.,,Literalmente. 'Advzr-Projeção-Nominalizador'.,,1
tpapakye,12,710,apartamento,flat,tpapakye,t-papak-ye,t-papak-ye,Lit. 'advzr-flatness-advzr'.,,Literalmente. 'Advzr-Flatness-Advzr'.,,1
tpotke,15,780,focado,sharp,tpotke,t-pot-ke,t-Φot-ke,"Lit. 'adv-point-adv'. Also, a sharp edge istɨ-yo-ke, lit. 'adv-tooth-adv' 04.270.",,"Literalmente. 'ADV-PONT-ADV'. Além disso, uma borda afiada istɨ-yo-ke, lit. 'Adv-dev-adv' 04.270.",,1
tpotke,12,352,apontado,pointed ,tpotke,t-pot-ke,t-Φot-ke,Lit. 'adv-point-adv'. See 'beak' 04.241; 'sharp' 15.780.,,Literalmente. 'ADV-PONT-ADV'. Veja 'bico' 04.241; 'Sharp' 15.780.,,1
tpoxwe,15,250,"perfumado, bom cheiro","fragrant, good smelling ",tpoxwe,t-pox-we,t-Φoš-we,Lit. 'adv-good odor-adv'.,,Literalmente. 'Adv-Good odor-adv'.,,1
triste Kacamara,,,tucupi,,triste Kacamara,,catia mara,,,,,3
tukre,15,830,"molhado, úmido","wet, damp",tukre,,tukre,,,,,1
tukuruy,,,com guarda,,tukuruy,,,,,,,2
Tukuruy,,,com guarda,,Tukuruy,,tu cu rui,,,,,3
tukusu,,,beija-flor,,tukusu,,,,,,,2
Tukusu,,,beija-flortu,,Tukusu,,tu cu su,,,,,3
tumutwe,15,640,branco,white,tumutwe,tu-mut-we,tu-mut-we,Lit. 'adv-white-adv'.,,Literalmente. 'Adv-White-Adv'.,,1
tunayana,,,Povo da água,,tunayana,,,,,,,2
Tunayana,,,Povo da água,,Tunayana,,tuna iana,,,,,3
tupurantay,11,510,rico,rich,tupurantay,tu-purantay,tu-Φurantay,"Means 'having money' 11.430. Also čemyawnoy, 'having possessions'.",,"Significa 'ter dinheiro' 11.430. Também Čemyawnoy, 'tendo posses'.",,1
tupurukye,4,853,inchaço,swelling,tupurukye,tu-puruk-ye,tu-Φuruk-ye,Lit. 'adv-swollen-adv'.,,Literalmente. 'ADV-S-SLOWLEN-ADV'.,,1
turpe,15,840,seco,dry,turpe,,turΦe,,,,,1
turuni,,,nome do rio Turuna,,turuni,,,,,,,2
Turuni,,,nome do rio Turuna,,Turuni,,turu ni,,,,,3
turuturu,,,espécie de maribundo,,turuturu,,,,,,,2
Turuturu,,,espécie de maribundo,,Turuturu,,tur turu,,,,,3
tusmuy,15,880,"sujo, sujo","dirty, soiled",tusmuy,tu-smu-y,tu-smu-y,Lit. 'adv-dirt-adv'.,,Literalmente. 'Adv-Dirt-Adv'.,,1
tutum,5,330,tigela,bowl,tutum,,tutum,Also means 'gourd' 08.930.,,Também significa 'cabaça' 08.930.,,1
tutum,8,930,cabaça,gourd,tutum,,tutum,Also means 'bowl' 05.330.,,Também significa 'tigela' 05.330.,,1
tuturuy,15,760,duro,rough,tuturuy,tu-turu-y,tu-turu-y,Lit. 'adv-rough-adv'.,,Literalmente. 'Adv-Rough-Adv'.,,1
tuuna,1,310,agua,water   ,tuuna,,tuuna,,,,,1
tuuna,1,750,chuva (substantivo),rain (noun),tuuna,,tuuna,,,,,1
tuuna,,,água,,tuuna,,,,,,,2
Tuuna,,,água,,Tuuna,,tu na,,,,,3
tuuna pîtho    ,1,370,"primavera, bem","spring, well    ",tuuna pîtho    ,tuuna pî-tho    ,tuuna Φɨ-tho    ,Lit. 'water head-(past)'.,,Lit. 'Cabeça de água- (passado)'.,,1
tuuna ymo       ,1,320,mar,sea     ,tuuna ymo       ,,tuuna ymo       ,Lit. 'water great'.,,Lit. 'Água ótima'.,,1
tuuna ymo       ,1,329,oceano,ocean   ,tuuna ymo       ,,tuuna ymo       ,Same as 'sea' 01.320.,,O mesmo que 'mar' 01.320.,,1
tuuru,,,especie de madeira,,tuuru,,,,,,,2
Tuuru,,,especie de madeira,,Tuuru,,tu ru,,,,,3
tuwuñurem,,,preguiçoso,,tuwuñurem,,,,,,,2
Tuwuñurem,,,preguiçoso,,Tuwuñurem,,tu uo nhu rem,,,,,3
tuxkukuyure,15,680,verde,green,tuxkukuyure,tu-xkukuyu-re,tu-škukuyu-re,Lit. 'adv-green-adv'.,,Literalmente. 'Adv-Green-Adv'.,,1
tuxma yepu,8,840,bananeira,banana tree,tuxma yepu,tuxma y-epu,tušma y-eΦu-∅,Lit. 'banana close connection-trunk-poss'.,,Literalmente. 'BANANA FILTE CONEXÃO POSSO DE TRUNCO DE CONEXÃO'.,,1
twayhso,4,750,"morrer, morto","die, dead",twayhso,t-wayh-so,t-wayh-so,Lit. 'adv-die-adv'.,,Literalmente. 'Adv-die-adv'.,,1
tweenopîn,19,720,prostituta,prostitute,tweenopîn,tweeno-pîn,tweeno-Φɨn,"Means 'careless person', (usually about sexual relations).",,"Significa 'pessoa descuidada', (geralmente sobre relações sexuais).",,1
twotme,15,860,resfriado,cold,twotme,t-wot-me,t-wot-me,Lit. 'adv-cold-adv'.,,Literalmente. 'Adv-Cold-Adv'.,,1
umana,,,casa de reunião,,umana,,,,,,,2
Umana,,,casa de reunião,,Umana,,uma na,,,,,3
Ceweka,,,Deixe pequeno parecido com warakaka,,"Umawa, Ceweka",,,,,,,1
Umawa,,,Deixe pequeno parecido com warakaka,,"Umawa, Ceweka",,,,,,,1
umayino,,,povo do rio abaixo,,umayino,,,,,,,2
Umayino,,,povo do rio abaixo,,Umayino,,uma ino,,,,,3
uuku,,,espermatozoide,,uuku,,,,,,,2
Uuku,,,espermatozoide,,Uuku,,u cú,,,,,3
uuma,,,rio abaixo,,uuma,,,,,,,2
Uuma,,,rio abaixo,,Uuma,,u ma,,,,,3
uuxa,,,macaco chui,,uuxa,,,,,,,2
Uuxa,,,macaco chui,,Uuxa,,u xá,,,,,3
wa,12,920,"Como, semelhante","like, similar",wa,,wa,... + wa - A noun precedes.,,... + wa - um substantivo precede.,,1
wa,17,410,"intenção, propósito","intention, purpose",wa,,wa,"Particle wa, indicates certainty (see 'sure' 17.370), and intention/purpose.",,"Partícula WA, indica certeza (consulte 'Certamente' 17.370) e intenção/propósito.",,1
waaca,,,cerca,,waaca,,,,,,,2
Waaca,,,cerca,,Waaca,,ua tia,,,,,3
waača,20,350,fortaleza,fortress,waača,waača,waača,Means 'fence (behind which to be protected)'.,,Significa 'cerca (atrás da qual a ser protegida)'.,,1
waača,8,160,cerca,fence,waača,waača,waača,,,,,1
waača,7,270,muro,wall,waača,waača,waača,,,,,1
waama,9,222,"Chop, palha","chop, hew",waama,w-aama,w-aama-∅,Same as 'cut down' 09.221.,,O mesmo que 'corte' 09.221.,,1
waama,9,221,reduza,cut down,waama,w-aama,w-aama-∅,"Means to cut down (tree), lit. '2nd-cut it down-today past'.",,"Significa reduzir (árvore), iluminada. '2º corte no passado'.",,1
waano,,,canção,,waano,,,,,,,2
Waano,,,canção,,Waano,,ua no,,,,,3
waapa,,,inimigo,,waapa,,,,,,,2
Waapa,,,inimigo,,Waapa,,ua fa,,,,,3
waapu,,,açaí,,waapu,,,,,,,2
waapu,,,eu comi,,waapu,,,,,,,2
waapu,,,"nome indgena, masc.",,waapu,,,,,,,2
waapu,,,sal,,waapu,,,,,,,2
Waapu,,,açaí,,Waapu,,uafu,,,,,3
Waapu,,,eu comi,,Waapu,,uafu,,,,,3
Waapu,,,"nome indgena, masc.",,Waapu,,uafu,,,,,3
Waapu,,,sal,,Waapu,,uafu,,,,,3
waařasî,10,640,chumbo (VB),lead (vb),waařasî,waar̃asî,waar̃asɨ,Means 'I will take/carry him'.,,Significa 'eu vou levar/carregá -lo'.,,1
waařasî,10,650,dirigir,drive,waařasî,waar̃asî,waar̃asɨ,"Means 'I will take/carry it', as in 'drive acar'.",,"Significa 'eu vou pegar/carregá -lo', como em 'drive acar'.",,1
waaro,,,papagaio,,waaro,,,,,,,2
Waaro,,,papagaio,,Waaro,,uaro,,,,,3
waato,,,atravessou,,waato,,,,,,,2
Waato,,,atravessou,,Waato,,ua to,,,,,3
waaxi,,,tamndua branca,,waaxi,,,,,,,2
Waaxi,,,tamndua branca,,Waaxi,,ua xi,,,,,3
wacan,,,cercado,,wacan,,,,,,,2
Wacan,,,cercado,,Wacan,,ua tian,,,,,3
wačmiyku,9,380,vassoura,broom,wačmiyku,wačmiyku,wačmiyku,,,,,1
wahcesî,,,estou acavando,,wahcesî,,,,,,,2
Wahcesî,,,estou acavando,,Wahcesî,,uar cesu,,,,,3
wahra,,,pouco,,wahra,,,,,,,2
Wahra,,,pouco,,Wahra,,uar rã,,,,,3
wahra,12,560,"Pequeno, pouco","small, little",wahra; wahray,,wahra; wahray,Respectively: 'small; small one'.; Respectively: 'small; small one'.,,Respectivamente: 'pequeno; pequeno '.; Respectivamente: 'pequeno; pequeno '.,,1
wahray,12,560,"Pequeno, pouco","small, little",wahra; wahray,,wahra; wahray,Respectively: 'small; small one'.; Respectively: 'small; small one'.,,Respectivamente: 'pequeno; pequeno '.; Respectivamente: 'pequeno; pequeno '.,,1
wahray,,,pequeno,,wahray,,,,,,,2
Wahray,,,pequeno,,Wahray,,uar raí,,,,,3
wahru,,,fechei ou eu tapei,,wahru,,,,,,,2
Wahru,,,fechei ou eu tapei,,Wahru,,uar ru,,,,,3
wahrunka,,,abri,,wahrunka,,,,,,,2
Wahrunka,,,abri,,Wahrunka,,uar run ca,,,,,3
wahrunkesî,,,"estou abrindo, estou realizando abertura abertura de algo",,wahrunkesî,,,,,,,2
Wahrunkesî,,,"estou abrindo, estou realizando abertura abertura de algo",,Wahrunkesî,,uar run quesu,,,,,3
wahruyasî,,,"eu fecho ou eu tapo, desfazer o que foi aberto",,wahruyasî,,,,,,,2
Wahruyasî,,,"eu fecho ou eu tapo, desfazer o que foi aberto",,Wahruyasî,,uar ru iasu,,,,,3
wahsî,,,"peguei, ou comprei",,wahsî,,,,,,,2
Wahsî,,,"peguei, ou comprei",,Wahsî,,uar su,,,,,3
wahsîyasî,,,estou pegando,,wahsîyasî,,,,,,,2
Wahsîyasî,,,estou pegando,,Wahsîyasî,,uar su iasu,,,,,3
wahto,,,acavei,,wahto,,,,,,,2
Wahto,,,acavei,,Wahto,,uar to,,,,,3
wahxayka,9,280,rasgar,tear,wahxayka,w-ahxayka,w-ahšayka-∅,Lit. '1st-tear it-today past'.,,Literalmente. 'PASSADO DE IT-TODAY 1º de 1º e Todo'.,,1
wahyasî,,,eu como,,wahyasî,,,,,,,2
Wahyasî,,,eu como,,Wahyasî,,uar iasu,,,,,3
waiwai,,,nome da tribo,,waiwai,wai-wai,,,,,,2
Waiwai,,,nome da tribo,,Waiwai,Wai-wai,uai uai,,,,,3
wakanama,,,tamacuare,,wakanama,,,,,,,2
Wakanama,,,tamacuare,,Wakanama,,uaca nama,,,,,3
wakîhto,9,440,construir,build,wakîhto,w-akîhto,w-akɨhto-∅,Lit. '1st-build it-today past'.,,Literalmente. 'PASSO DE TODOS IT-TODAY 1º Build'.,,1
wakîhto,,,fiz,,wakîhto,,,,,,,2
Wakîhto,,,fiz,,Wakîhto,,ua cur to,,,,,3
wakîknofu,,,apertei (parafuso),,wakîknofu,,,,,,,2
Wakîknofu,,,apertei,,Wakîknofu,,ua cu do fu,,,,,3
wakîknoyakñe,,,apertava,,wakîknoyakñe,,,,,,,2
Wakîknoyakñe,,,apertava,,Wakîknoyakñe,,ua cu do ia de,,,,,3
wakîknoyasî,,,estou apertando (parafuso),,wakîknoyasî,,,,,,,2
Wakîknoyasî,,,estou apertando,,Wakîknoyasî,,ua cu do iasu,,,,,3
wakîmho,,,"espalhei, por exemplo: (tapota wakîmho) espalhei boato",,wakîmho,,,,,,,2
wakîmho,,,"migalhei,",,wakîmho,,,,,,,2
Wakîmho,,,"espalhei, por exemplo: (tapota wakîmho",,Wakîmho,,ua cum rro,,,,,3
Wakîmho,,,"migalhei,",,Wakîmho,,ua cum rro,,,,,3
waknama,,,virei,,waknama,,,,,,,2
Waknama,,,virei,,Waknama,,ua da ma,,,,,3
wakñifu,,,queimei,,wakñifu,,,,,,,2
Wakñifu,,,queimei,,Wakñifu,,u adi fu,,,,,3
wakñiyasî,,,estou queimando,,wakñiyasî,,,,,,,2
Wakñiyasî,,,estou queimando,,Wakñiyasî,,u adi ia su,,,,,3
waknonka,,,tirei um para dar,,waknonka,,,,,,,2
Waknonka,,,tirei um para dar,,Waknonka,,ua don ca,,,,,3
wakon,,,apreciado,,wakon,,,,,,,2
Wakon,,,apreciado,,Wakon,,ua con,,,,,3
wakoroka,9,461,escavar,hollow out,wakoroka,w-akoroka,w-akoroka-∅,Lit. '1st-hollow it out-today past'.,,Literalmente. '1º seguinte no passado'.,,1
wakpapu,9,340,espalhar,spread out,wakpapu,w-akpapu,w-akΦaΦu-∅,Lit. '1st-spread out-today past'.,,Literalmente. 'Past-' de 1º ano do passado '.,,1
wakron,,,escuma,,wakron,,,,,,,2
Wakron,,,escuma,,Wakron,,ua cron,,,,,3
wakron ,1,324,espuma,foam    ,wakron ,wakro-n ,wakro-n ,Lit. 'foam-poss'.,,Lit. 'Possão de espuma'.,,1
wakronomay,,,eu ajudei,,wakronomay,,,,,,,2
Wakronomay,,,eu ajudei,,Wakronomay,,uacronoma,,,,,3
wakronomekñe,,,eu ajudava,,wakronomekñe,,,,,,,2
Wakronomekñe,,,eu ajudava,,Wakronomekñe,,ua cro nome de,,,,,3
wakronomesî,,,estou ajudando,,wakronomesî,,,,,,,2
Wakronomesî,,,estou ajudando,,Wakronomesî,,ua cro nomesu,,,,,3
wama,,,cortei,,wama,,,,,,,2
Wama,,,cortei,,Wama,,ua ma,,,,,3
wamatîka,,,cortei tudo,,wamatîka,,,,,,,2
Wamatîka,,,cortei tudo,,Wamatîka,,uama tuca,,,,,3
wame,,,corto,,wame,,,,,,,2
Wame,,,corto,,Wame,,uame,,,,,3
wamesî,,,eu corto,,wamesî,,,,,,,2
Wamesî,,,eu corto,,Wamesî,,uamesu,,,,,3
wamposoto,9,341,desligar,hang up ,wamposoto,w-amposoto,w-amΦosoto-∅,Lit. '1st-hang it up-today past'.,,Literalmente. '1º passado no passado'.,,1
wananpîra,9,140,dobrar,bend,wananpîra,wananpî-ra,wananΦɨ-ra,Lit. 'bend-neg'.,,Literalmente. 'bend-neg'.,,1
wanaru,,,passaro menor que inambú,,wanaru,,,,,,,2
Wanaru,,,passaro menor que inambú,,Wanaru,,ua naru,,,,,3
wanohto,,,fez canção a ele,,wanohto,,,,,,,2
Wanohto,,,fez canção a ele,,Wanohto,,uanohto,,,,,3
wanomaxi,,,fazer canção a ela,,wanomaxi,,,,,,,2
Wanomaxi,,,fazer canção a ela,,Wanomaxi,,uanomaxi,,,,,3
wanomra,,,não tem canção,,wanomra,,,,,,,2
Wanomra,,,não tem canção,,Wanomra,,uanomra,,,,,3
wapahtotopo,21,420,assassinato,murder,wapahtotopo,wapa-hto-topo,waΦa-hto-toΦo,Means 'act of killing a person'.,,Significa 'ato de matar uma pessoa'.,,1
wapantaw naxe,20,490,emboscada,ambush,wapantaw naxe,wapantaw n-a-xe,waΦantaw n-a-še,Means 'they are hiding to observe aperson (for any reason)'.,,Significa 'eles estão escondidos para observar Aperson (por qualquer motivo)'.,,1
waponukyasî,18,350,"pergunte, solicitação","ask, request",waponukyasî,w-aponuk-ya-sî,w-aΦonuk-ya-sɨ,Means 'I ask for it'.,,Significa 'eu peço por isso'.,,1
wara,,,igual,,wara,,,,,,,2
wara,,,porco espinho,,wara,,,,,,,2
Wara,,,igual,,Wara,,uara,,,,,3
Wara,,,porco espinho,,Wara,,u ara,,,,,3
wara exirî ke,17,520,porque ero,because ero ,wara exirî ke,wara exi-rî ke,wara eši-rɨ ke,Means 'because it is that way'.,,Significa 'porque é assim'.,,1
warahra,,,não igual ou não parecido,,warahra,,,,,,,2
Warahra,,,não igual ou não parecido,,Warahra,,uarar ra,,,,,3
warahyaku,,,colher feito de cabaça,,warahyaku,,,,,,,2
Warahyaku,,,colher feito de cabaça,,Warahyaku,,uarar iacu,,,,,3
warapapoturu,5,370,colher,spoon,warapapoturu,,waraΦaΦoturu,,,,,1
warapoturu,,,colher,,warapoturu,,,,,,,2
Warapoturu,,,colher,,Warapoturu,,uara fo turu,,,,,3
warka,9,350,derramar,pour,warka,w-arka,w-arka-∅,"Lit. '1st-pour it-today past', used for liquids. For pouring granular substance, ∅-merur-ka-∅, '1st-pour it-T verbl-today past'.",,"Literalmente. 'Past-today de 1º p-pour', usado para líquidos. Para derramar a substância granular, ∅-merur-ka-∅, 'Past-T de It-T de 1º p-pour'.",,1
wasî,,,estou,,wasî,,,,,,,2
Wasî,,,estou,,Wasî,,uasu,,,,,3
wasikwo,9,260,parar,break,wasikwo,w-asikwo,w-asikwo-∅,"Means to break a long hard object, lit. '1st-break it-today past'. To break string, rope is same as 'cut' 09.220.",,"Significa quebrar um longo objeto duro, iluminado. 'Passado de It-Today do 1º Break'. Para quebrar a corda, a corda é a mesma que 'Cut' 09.220.",,1
watapa,,,nome da cachoeira principal no rio Mapuera,,watapa,,,,,,,2
Watapa,,,nome da cachoeira principal no rio Mapuera,,Watapa,,uatafa,,,,,3
watma,20,220,clube,club,watma,,watma,,,,,1
watmunko,9,342,pressione,press,watmunko,w-atmunk-o,w-atmunk-o,Lit. '1st-press it-today past'.,,Literalmente. '1º passado no passado'.,,1
watmunko,9,343,"aperte, torce","squeeze, wring",watmunko,w-atmunk-o,w-atmunk-o,Same as 'press' 09.342.,,O mesmo que 'Press' 09.342.,,1
watocow,,,atravessaram,,watocow,,,,,,,2
Watocow,,,atravessaram,,Watocow,,uato tiou,,,,,3
watoso,,,atravessar,,watoso,,,,,,,2
Watoso,,,atravessar,,Watoso,,uato so,,,,,3
watotopo,,,meio de atravessar o rio,,watotopo,,,,,,,2
Watotopo,,,meio de atravessar o rio,,Watotopo,,uatoto fo,,,,,3
watwa,3,970,"crocodilo, jacaré","crocodile, alligator    ",watwa,,watwa,,,,,1
watwa,,,jacaré,,watwa,,,,,,,2
Watwa,,,jacaré,,Watwa,,uat ua,,,,,3
watwa ymo,,,jacare uasu,,watwa ymo,,,,,,,2
Watwa ymo,,,jacare uasu,,Watwa ymo,,uat ua imo,,,,,3
waw kañe,18,190,uivo,howl,waw kañe,waw kaɲe,waw kaɲe,Means 'one who says 'waw''.,,Significa 'quem diz' waw ''.,,1
wayahru,,,remo dele,,wayahru,,,,,,,2
Wayahru,,,remo dele,,Wayahru,,uaiar ru,,,,,3
wayamakasî,6,910,pentear,comb,wayamakasî,wayamaka-sî,wayamaka-sɨ,,,,,1
wayamari,,,traira preta,,wayamari,,,,,,,2
Wayamari,,,traira preta,,Wayamari,,ua ia mari,,,,,3
wayamnu,2,631,genro (de uma mulher),son-in-law (of a woman),wayamnu,wayam-nu,wayam-nu,,,,,1
wayamnu,,,namorado dela ou a namorada dele,,wayamnu,,,,,,,2
Wayamnu,,,namorado dela ou a namorada dele,,Wayamnu,,ua iam nu,,,,,3
wayamnu ,2,620,sogra (de um homem),mother-in-law (of a man)        ,wayamnu ,wayam-nu ,∅-wayam-nu ,Lit. '3rd-marriageable person-poss'.,,Literalmente. '3ª pessoa-poss-poss-poss'.,,1
wayamu,,,jabuti,,wayamu,,,,,,,2
Wayamu,,,jabuti,,Wayamu,,ua ia um,,,,,3
wayamumra,,,sem namorada ou o namorado,,wayamumra,,,,,,,2
Wayamumra,,,sem namorada ou o namorado,,Wayamumra,,uaia mum ra,,,,,3
wayapamsî,9,790,fã (substantivo),fan (noun),wayapamsî,,wayaΦamsɨ,,,,,1
wayapu,10,851,Paddle (substantivo),paddle (noun),wayapu,,wayaΦu,,,,,1
wayapu,10,850,remo,oar,wayapu,,wayaΦu,,,,,1
wayapu,,,remo,,wayapu,,,,,,,2
Wayapu,,,remo,,Wayapu,,ua ia fu,,,,,3
wayawaya,,,"lontra, ariranha",,wayawaya,,,,,,,2
Wayawaya,,,"lontra, ariranha",,Wayawaya,,uaia uaia,,,,,3
wayhkakî,4,760,matar,kill,wayhkakî,wayh-ka-kî,∅-wayh-ka-kɨ,Lit. '3rd object-die-cause-imperative'.,,Literalmente. '3º Objeto-Die-Caus-Rause-Imperativa'.,,1
wayma,,,preguiça real,,wayma,,,,,,,2
Wayma,,,preguiça real,,Wayma,,uai ma,,,,,3
waypîra,4,740,"Viva, Viva, Vida","live, living, life",waypîra,waypî-ra,wayΦɨ-ra,Lit. 'dying-negative'.,,Literalmente. 'morrendo negativo'.,,1
waypo,9,791,Fan (VB),fan (vb),waypo,w-aypo,w-ayΦo-∅,Lit. '1st-fan it-today past'.,,Literalmente. '1º Fan It-Today Past'.,,1
waypu,,,morreu,,waypu,,,,,,,2
Waypu,,,morreu,,Waypu,,uai fu,,,,,3
waypura,,,não morreu,,waypura,,,,,,,2
Waypura,,,não morreu,,Waypura,,uai fura,,,,,3
waywa,9,370,varrer,sweep,waywa,w-aywa,w-aywa-∅,Lit. '1st-sweep-today past'.,,Literalmente. 'PASSO DE 1º SWEEP-TODAY'.,,1
waywî,20,250,seta,arrow,waywî,,waywɨ,,,,,1
wečikrî,4,462,cintura,waist,wečikrî,wečik-rî,∅-wečik-rɨ,Lit. '3rd-narrow part-poss'.,,Literalmente. '3rd-Narrow Part-Poss'.,,1
weeci,,,bandeja,,weeci,,,,,,,2
Weeci,,,bandeja,,Weeci,,eu tié,,,,,3
weeñasî,17,170,conhecer,know,weeñasî,w-eeɲa-sî,w-eeɲa-sɨ,Means 'I see/know him'.,,Significa 'eu vejo/conheço ele'.,,1
weenu,5,840,querida,honey,weenu,,weenu,Same as 'bee' 03.820.,,O mesmo que 'Bee' 03.820.,,1
weenu,3,820,abelha,bee     ,weenu,,weenu,,,,,1
weenu,,,mel de abelha,,weenu,,,,,,,2
Weenu,,,mel de abelha,,Weenu,,eu nu,,,,,3
weenu mîn,3,822,colméia,beehive        ,weenu mîn,,weenu mɨn,Lit. 'bee house' 07.120.,,Literalmente. 'Bee House' 07.120.,,1
weeřa,5,340,"arremessador, jarro","pitcher, jug",weeřa,weer̃a,weer̃a,,,,,1
weeto,,,esterco ou degeto,,weeto,,,,,,,2
Weeto,,,esterco ou degeto,,Weeto,,ue to,,,,,3
weewe,8,600,árvore,tree,weewe,,weewe,,,,,1
weewe,1,420,Árvore (cf 08.600),tree (cf 08.600)        ,weewe,,weewe,,,,,1
weewe,1,430,madeira,wood    ,weewe,,weewe,,,,,1
weewe mîtî,8,720,toco de árvore,tree stump,weewe mîtî,,weewe mɨtɨ,,,,,1
weewe pičho,8,750,latido,bark,weewe pičho,weewe pičho,weewe Φičho,Lit. 'tree-skin' 04.120.,,Literalmente. 'pele de árvore' 04.120.,,1
